Language,Gender,Filename,Avg E,Avg F0,Avg MFCC,Avg duration
cn,male,49.wav,0.1282903103847665,100.2997002997003,"[0.49731657 0.61078515 0.52454185 0.49679042 0.53003389 0.57033312
 0.44290583 0.47836394 0.56485808 0.48490862 0.46938834 0.42270711
 0.49907327 0.6043857  0.49651952 0.62126857 0.55675754 0.42551506
 0.50360305 0.49853905 0.5468428  0.54315279 0.38572617 0.4946036
 0.45627589 0.48953366 0.57551199 0.48590089 0.35537554 0.39662676
 0.49471373 0.57734694 0.51286529 0.45102686 0.55503604 0.50581227
 0.45698052 0.40156776 0.323138   0.3206007 ]",264.2105263157895
en,male,70.wav,0.2540812958959146,100.31289111389236,"[0.44849293 0.58472801 0.61912079 0.52272395 0.51237414 0.46159432
 0.59082093 0.5443488  0.49511834 0.59909289 0.51205037 0.43168505
 0.55063776 0.57874098 0.49114553 0.58206145 0.46162109 0.61170272
 0.48186906 0.61242259 0.53664866 0.52071256 0.51591213 0.4858864
 0.51260204 0.45563943 0.39785724 0.4013522  0.47398753 0.45763046
 0.37401669 0.33444733 0.21489035 0.25120435 0.30135249 0.2408372
 0.40083071 0.50340847 0.44807652 0.43690599]",235.88235294117646
cn,male,59.wav,0.07603013929235261,105.11921458625525,"[0.53663966 0.63959572 0.43543988 0.56100945 0.49410284 0.51842003
 0.47110542 0.46593374 0.50826787 0.46728046 0.5836067  0.48583714
 0.44882596 0.48940046 0.48075979 0.58113143 0.50670854 0.46402835
 0.48779658 0.62252866 0.49533616 0.52999726 0.47805185 0.46799672
 0.46237439 0.41689264 0.50118057 0.55176196 0.48375527 0.53219861
 0.62009079 0.49856395 0.53045438 0.54547893 0.44359596 0.51606603
 0.51745594 0.51209832 0.54638066 0.51637988]",255.71428571428572
en,male,83.wav,0.21055556609813272,165.6538969616909,"[0.5069432  0.57062766 0.46735145 0.44163822 0.35713361 0.56667461
 0.60694946 0.52678501 0.54377459 0.46815977 0.56156162 0.53269585
 0.52095468 0.50800612 0.49025228 0.44681907 0.56300686 0.46871695
 0.39771226 0.60244047 0.41189776 0.5326018  0.48996936 0.44789242
 0.51125912 0.49604784 0.5686895  0.43701182 0.49221903 0.48861733
 0.46732664 0.42981164 0.41364662 0.37639512 0.4460914  0.59612457
 0.42622286 0.42635071 0.47000284 0.38866368]",271.42857142857144
cn,male,82.wav,0.13162234895264674,109.35162094763092,"[0.53137242 0.52960429 0.52294847 0.5121994  0.59833051 0.52813656
 0.3909035  0.46798232 0.62626962 0.40448265 0.48095926 0.48908366
 0.47801327 0.4819269  0.33249964 0.55072768 0.42719516 0.47544076
 0.43371383 0.51402224 0.50511072 0.48392837 0.52618258 0.51817755
 0.42737759 0.47155938 0.62028718 0.51097997 0.57373854 0.45898697
 0.47626386 0.30702312 0.3535158  0.5357235  0.32491843 0.3184847
 0.34344178 0.31061754 0.34556375 0.37126068]",168.33333333333334
en,male,110.wav,0.30692081923447645,143.33333333333334,"[0.58333233 0.71735702 0.46913148 0.63609739 0.64408712 0.52523415
 0.45536132 0.5499721  0.50851816 0.52845556 0.3151711  0.34874788
 0.61860139 0.70021592 0.50705337 0.43491667 0.4781793  0.42786195
 0.53151075 0.52480914 0.44776076 0.60213053 0.44851108 0.38331142
 0.57114669 0.50779383 0.35569916 0.58487623 0.46568069 0.48730614
 0.31842493 0.46580365 0.46370041 0.45778236 0.37342368 0.47130897
 0.55322225 0.48971403 0.44228303 0.32992274]",99.0
cn,male,126.wav,0.23851897856244977,125.88473205257836,"[0.66858652 0.72296323 0.46312053 0.414114   0.59554107 0.58137882
 0.62704162 0.58812487 0.43520163 0.49497478 0.61930082 0.47770953
 0.5262367  0.44566512 0.52332215 0.55524192 0.5468067  0.5013258
 0.4477507  0.32306268 0.31875204 0.25669658 0.26939529 0.39247998
 0.56326821 0.57403282 0.64185928 0.59540002 0.28552461 0.30924917
 0.25710269 0.26179398 0.46207983 0.47920481 0.40264265 0.41845643
 0.5261057  0.51057067 0.48285091 0.44762768]",261.05263157894734
en,male,175.wav,0.867347745434115,123.71134020618557,"[0.56926154 0.59207413 0.43595247 0.49836321 0.66484271 0.51438838
 0.43233924 0.53431336 0.50153324 0.51918116 0.60150493 0.57084454
 0.53417827 0.47866953 0.60635371 0.39227472 0.31208341 0.29814176
 0.2949123  0.3049135  0.48521278 0.3107927  0.356291   0.31958124
 0.41723942 0.4227956  0.39086264 0.29885664 0.28190811 0.41122606
 0.23798824 0.48073451 0.60734863 0.50419001 0.43932574 0.47297153
 0.38830976 0.29869976 0.41793682 0.40825492]",273.75
cn,female,26.wav,0.15237015581067284,154.76603119584055,"[0.45394532 0.63734705 0.48090199 0.54791835 0.65066221 0.41872041
 0.52383688 0.60007256 0.58186743 0.60378615 0.42412805 0.56075723
 0.39853088 0.46932044 0.54511771 0.55766688 0.53132923 0.41039995
 0.47646986 0.58711019 0.57309931 0.49756681 0.52141784 0.52463821
 0.25193925 0.3145449  0.31374198 0.39892296 0.4207949  0.5290614
 0.50978181 0.31917169 0.36972129 0.53258078 0.49330342 0.53527877
 0.49585369 0.58332317 0.58101645 0.49734018]",322.22222222222223
en,female,33.wav,0.46018395873664913,163.53503184713375,"[0.63534059 0.66250168 0.62854148 0.55565385 0.57765959 0.51783788
 0.45129541 0.44862685 0.41260884 0.55405688 0.63637286 0.53166853
 0.34480651 0.41944425 0.32628621 0.38599334 0.357625   0.45056945
 0.49655    0.46218569 0.49242086 0.47314332 0.46759804 0.37703364
 0.61244191 0.42077905 0.49261722 0.4076049  0.37926549 0.62447313
 0.55900669 0.46892065 0.48771762 0.35438036 0.36968275 0.40542364
 0.47492025 0.34986521 0.37184801 0.49371525]",226.42857142857142
